,min,max,mean,median,max-min magnitude,std_dev,variance
sensor A4,10.6,34.1,25.429059829059828,26.3,23.5,5.378085478941687,28.923803418803434
sensor A5,40.6,49.4,44.930769230769265,45.1,8.799999999999997,1.9362896236439686,3.7492175066313016
sensor A6,42.3,49.5,45.75555555555557,45.8,7.200000000000003,1.6716419991074873,2.794386973180077
sensor A7,42.6,50.2,46.326495726495736,46.4,7.600000000000001,1.7776094545277392,3.1598953728264063
sensor A8,41.4,49.8,45.34273504273504,45.5,8.399999999999999,1.6828914075296963,2.8321234895372824
sensor A9,41.1,48.6,44.46666666666668,44.3,7.5,1.7542067664076384,3.077241379310343
sensor A10,41.9,48.3,44.49658119658116,44.4,6.399999999999999,1.4538256087570698,2.1136089006778644
sensor A11,41.7,48.6,44.62564102564103,44.5,6.899999999999999,1.6647022021222477,2.771233421750661
sensor A12,41.3,50.5,45.03418803418803,44.6,9.200000000000003,2.1995360950218275,4.837959033303869
sensor A13,40.2,49.4,43.63076923076926,43.5,9.199999999999996,1.929063625738804,3.721286472148541
